source_path,line,reference,reference_kind,target_path,status
src/main/resources/assets/advancedrocketry/blockstates/biomescanner.json,0,advancedrocketry:orientablebottom,model,src/main/resources/assets/advancedrocketry/models/orientablebottom.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/biomescanner.json,0,advancedrocketry:orientablebottom,model,src/main/resources/assets/advancedrocketry/models/orientablebottom.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/biomescanner.json,0,advancedrocketry:orientablebottom,model,src/main/resources/assets/advancedrocketry/models/orientablebottom.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantfueltank.json,0,advancedrocketry:models/bottomtank.obj,model,src/main/resources/assets/advancedrocketry/models/models/bottomtank.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantfueltank.json,0,advancedrocketry:models/middletank.obj,model,src/main/resources/assets/advancedrocketry/models/models/middletank.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantfueltank.json,0,advancedrocketry:models/middletank.obj,model,src/main/resources/assets/advancedrocketry/models/models/middletank.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantfueltank.json,0,advancedrocketry:models/middletank.obj,model,src/main/resources/assets/advancedrocketry/models/models/middletank.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantfueltank.json,0,advancedrocketry:models/toptank.obj,model,src/main/resources/assets/advancedrocketry/models/models/toptank.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantfueltank.json,0,advancedrocketry:textures/models/tank,texture,src/main/resources/assets/advancedrocketry/textures/textures/models/tank.png,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:/models/bipropellantcombustion,texture,src/main/resources/assets/advancedrocketry/textures//models/bipropellantcombustion.png,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:models/bipropellantrocketmotor.obj,model,src/main/resources/assets/advancedrocketry/models/models/bipropellantrocketmotor.obj.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:textures/models/bipropellantcombustion.png,model,src/main/resources/assets/advancedrocketry/models/textures/models/bipropellantcombustion.png.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:textures/models/bipropellantcombustion.png,model,src/main/resources/assets/advancedrocketry/models/textures/models/bipropellantcombustion.png.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:textures/models/bipropellantcombustion.png,model,src/main/resources/assets/advancedrocketry/models/textures/models/bipropellantcombustion.png.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:textures/models/bipropellantcombustion.png,model,src/main/resources/assets/advancedrocketry/models/textures/models/bipropellantcombustion.png.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:textures/models/bipropellantcombustion.png,model,src/main/resources/assets/advancedrocketry/models/textures/models/bipropellantcombustion.png.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:textures/models/bipropellantcombustion.png,model,src/main/resources/assets/advancedrocketry/models/textures/models/bipropellantcombustion.png.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/bipropellantrocketmotor.json,0,advancedrocketry:textures/models/bipropellantcombustion.png,texture,src/main/resources/assets/advancedrocketry/textures/textures/models/bipropellantcombustion.png.png,MISSING
src/main/resources/assets/advancedrocketry/blockstates/blockpump.json,0,advancedrocketry:orientablebottom,model,src/main/resources/assets/advancedrocketry/models/orientablebottom.json,MISSING
